gene,category,subcategory
TAC1,Retinal markers (Lu 2020),Amacrine Cells
TUBB2B,Retinal markers (Lu 2020),Amacrine Cells
POU2F2,Retinal markers (Lu 2020),Amacrine Cells
GAD1,Retinal markers (Lu 2020),Amacrine Cells
CELF5,Retinal markers (Lu 2020),Amacrine Cells
MIR124-2HG,Retinal markers (Lu 2020),Amacrine Cells
TTC3,Retinal markers (Lu 2020),Amacrine Cells
AP1S2,Retinal markers (Lu 2020),Amacrine Cells
THRA,Retinal markers (Lu 2020),Amacrine Cells
SV2A,Retinal markers (Lu 2020),Amacrine Cells
SYT6,Retinal markers (Lu 2020),Amacrine Cells
GPC2,Retinal markers (Lu 2020),Amacrine Cells
CCNI,Retinal markers (Lu 2020),Amacrine Cells
LHFP,Retinal markers (Lu 2020),Amacrine Cells
PCLO,Retinal markers (Lu 2020),Amacrine Cells
NPTX2,Retinal markers (Lu 2020),Amacrine Cells
CD200,Retinal markers (Lu 2020),Amacrine Cells
CFL1,Retinal markers (Lu 2020),Amacrine Cells
FBXW7,Retinal markers (Lu 2020),Amacrine Cells
SRGAP3,Retinal markers (Lu 2020),Amacrine Cells
STARD4-AS1,Retinal markers (Lu 2020),Amacrine Cells
RASGEF1B,Retinal markers (Lu 2020),Amacrine Cells
LY6H,Retinal markers (Lu 2020),Amacrine Cells
BZW2,Retinal markers (Lu 2020),Amacrine Cells
FGF14,Retinal markers (Lu 2020),Amacrine Cells
DPYSL4,Retinal markers (Lu 2020),Amacrine Cells
STMN4,Retinal markers (Lu 2020),Amacrine Cells
LRRN3,Retinal markers (Lu 2020),Amacrine Cells
AC004158.3,Retinal markers (Lu 2020),Amacrine Cells
PRKCB,Retinal markers (Lu 2020),Amacrine Cells
GPM6A,Retinal markers (Lu 2020),Amacrine Cells
FSCN1,Retinal markers (Lu 2020),Amacrine Cells
SEZ6L2,Retinal markers (Lu 2020),Amacrine Cells
CCDC88A,Retinal markers (Lu 2020),Amacrine Cells
CABP1,Retinal markers (Lu 2020),Amacrine Cells
TBX3,Retinal markers (Lu 2020),Amacrine Cells
FRMD4A,Retinal markers (Lu 2020),Amacrine Cells
BNIP3,Retinal markers (Lu 2020),Amacrine Cells
GNG2,Retinal markers (Lu 2020),Amacrine Cells
CSRNP3,Retinal markers (Lu 2020),Amacrine Cells
IGLON5,Retinal markers (Lu 2020),Amacrine Cells
HIF1A,Retinal markers (Lu 2020),Amacrine Cells
FARP1,Retinal markers (Lu 2020),Amacrine Cells
FXYD6,Retinal markers (Lu 2020),Amacrine Cells
CEP170,Retinal markers (Lu 2020),Amacrine Cells
NBEA,Retinal markers (Lu 2020),Amacrine Cells
ARHGEF12,Retinal markers (Lu 2020),Amacrine Cells
LINC00632,Retinal markers (Lu 2020),Amacrine Cells
RELN,Retinal markers (Lu 2020),Amacrine Cells
PKIA,Retinal markers (Lu 2020),Amacrine Cells
MTUS1,Retinal markers (Lu 2020),Amacrine Cells
FGF13,Retinal markers (Lu 2020),Amacrine Cells
SEPT6,Retinal markers (Lu 2020),Amacrine Cells
NRXN3,Retinal markers (Lu 2020),Amacrine Cells
CBLN2,Retinal markers (Lu 2020),Amacrine Cells
GPR85,Retinal markers (Lu 2020),Amacrine Cells
CPLX3,Retinal markers (Lu 2020),Amacrine Cells
VASH2,Retinal markers (Lu 2020),Amacrine Cells
ADGRL3,Retinal markers (Lu 2020),Amacrine Cells
PTPRK,Retinal markers (Lu 2020),Amacrine Cells
RGS8,Retinal markers (Lu 2020),Amacrine Cells
PTPRS,Retinal markers (Lu 2020),Amacrine Cells
TMSB10,Retinal markers (Lu 2020),Amacrine Cells
GABPB1-AS1,Retinal markers (Lu 2020),Amacrine Cells
MAPT,Retinal markers (Lu 2020),Amacrine Cells
SPOCK1,Retinal markers (Lu 2020),Amacrine Cells
SCN2A,Retinal markers (Lu 2020),Amacrine Cells
MIAT,Retinal markers (Lu 2020),Amacrine Cells
ACTB,Retinal markers (Lu 2020),Amacrine Cells
ADGRB3,Retinal markers (Lu 2020),Amacrine Cells
PFKFB3,Retinal markers (Lu 2020),Amacrine Cells
IGFBP4,Retinal markers (Lu 2020),Amacrine Cells
OLFM3,Retinal markers (Lu 2020),Amacrine Cells
ERV3-1,Retinal markers (Lu 2020),Amacrine Cells
SH3BP5,Retinal markers (Lu 2020),Amacrine Cells
FABP7,Retinal markers (Lu 2020),BC/Photo_Precurs
C8orf46,Retinal markers (Lu 2020),BC/Photo_Precurs
ATOH7,Retinal markers (Lu 2020),BC/Photo_Precurs
FAM131C,Retinal markers (Lu 2020),BC/Photo_Precurs
DCT,Retinal markers (Lu 2020),BC/Photo_Precurs
OTX2,Retinal markers (Lu 2020),BC/Photo_Precurs
NEUROD4,Retinal markers (Lu 2020),BC/Photo_Precurs
CSRP2,Retinal markers (Lu 2020),BC/Photo_Precurs
NEUROG1,Retinal markers (Lu 2020),BC/Photo_Precurs
MFNG,Retinal markers (Lu 2020),BC/Photo_Precurs
BSG,Retinal markers (Lu 2020),BC/Photo_Precurs
GADD45G,Retinal markers (Lu 2020),BC/Photo_Precurs
PRDM1,Retinal markers (Lu 2020),BC/Photo_Precurs
HES6,Retinal markers (Lu 2020),BC/Photo_Precurs
MIR7-3HG,Retinal markers (Lu 2020),BC/Photo_Precurs
RORB,Retinal markers (Lu 2020),BC/Photo_Precurs
RXRG,Retinal markers (Lu 2020),BC/Photo_Precurs
KLHDC8A,Retinal markers (Lu 2020),BC/Photo_Precurs
GABARAP,Retinal markers (Lu 2020),BC/Photo_Precurs
PCBP4,Retinal markers (Lu 2020),BC/Photo_Precurs
RASD1,Retinal markers (Lu 2020),BC/Photo_Precurs
CHRNA1,Retinal markers (Lu 2020),BC/Photo_Precurs
S100A6,Retinal markers (Lu 2020),BC/Photo_Precurs
MPPED2,Retinal markers (Lu 2020),BC/Photo_Precurs
SSX2IP,Retinal markers (Lu 2020),BC/Photo_Precurs
NEUROD1,Retinal markers (Lu 2020),BC/Photo_Precurs
PIK3R1,Retinal markers (Lu 2020),BC/Photo_Precurs
CADM3,Retinal markers (Lu 2020),BC/Photo_Precurs
FAM89A,Retinal markers (Lu 2020),BC/Photo_Precurs
DLL3,Retinal markers (Lu 2020),BC/Photo_Precurs
SLC38A5,Retinal markers (Lu 2020),BC/Photo_Precurs
SEMA5A,Retinal markers (Lu 2020),BC/Photo_Precurs
GNG5,Retinal markers (Lu 2020),BC/Photo_Precurs
GSTP1,Retinal markers (Lu 2020),BC/Photo_Precurs
RBP1,Retinal markers (Lu 2020),BC/Photo_Precurs
NNAT,Retinal markers (Lu 2020),BC/Photo_Precurs
INSM1,Retinal markers (Lu 2020),BC/Photo_Precurs
NFIB,Retinal markers (Lu 2020),BC/Photo_Precurs
EML4,Retinal markers (Lu 2020),BC/Photo_Precurs
RPL36A,Retinal markers (Lu 2020),BC/Photo_Precurs
DLL4,Retinal markers (Lu 2020),BC/Photo_Precurs
RHOBTB3,Retinal markers (Lu 2020),BC/Photo_Precurs
GPX1,Retinal markers (Lu 2020),BC/Photo_Precurs
OLIG2,Retinal markers (Lu 2020),BC/Photo_Precurs
PTH2,Retinal markers (Lu 2020),BC/Photo_Precurs
RPL17,Retinal markers (Lu 2020),BC/Photo_Precurs
SOX4,Retinal markers (Lu 2020),BC/Photo_Precurs
CCNG2,Retinal markers (Lu 2020),BC/Photo_Precurs
NBEAL1,Retinal markers (Lu 2020),BC/Photo_Precurs
AMER2,Retinal markers (Lu 2020),BC/Photo_Precurs
SESN3,Retinal markers (Lu 2020),BC/Photo_Precurs
GRINA,Retinal markers (Lu 2020),BC/Photo_Precurs
TMX1,Retinal markers (Lu 2020),BC/Photo_Precurs
CD44,Retinal markers (Lu 2020),BC/Photo_Precurs
COL16A1,Retinal markers (Lu 2020),BC/Photo_Precurs
EIF3E,Retinal markers (Lu 2020),BC/Photo_Precurs
LGI4,Retinal markers (Lu 2020),BC/Photo_Precurs
LHX4,Retinal markers (Lu 2020),BC/Photo_Precurs
MFAP4,Retinal markers (Lu 2020),BC/Photo_Precurs
APEX1,Retinal markers (Lu 2020),BC/Photo_Precurs
ACTC1,Retinal markers (Lu 2020),BC/Photo_Precurs
SMAD2,Retinal markers (Lu 2020),BC/Photo_Precurs
PHLDA1,Retinal markers (Lu 2020),BC/Photo_Precurs
MIAT,Retinal markers (Lu 2020),BC/Photo_Precurs
TMEM123,Retinal markers (Lu 2020),BC/Photo_Precurs
STRADB,Retinal markers (Lu 2020),BC/Photo_Precurs
HNRNPH3,Retinal markers (Lu 2020),BC/Photo_Precurs
GADD45GIP1,Retinal markers (Lu 2020),BC/Photo_Precurs
NDRG1,Retinal markers (Lu 2020),BC/Photo_Precurs
DST,Retinal markers (Lu 2020),BC/Photo_Precurs
TLE3,Retinal markers (Lu 2020),BC/Photo_Precurs
TMA16,Retinal markers (Lu 2020),BC/Photo_Precurs
HMGA1,Retinal markers (Lu 2020),BC/Photo_Precurs
KDELR1,Retinal markers (Lu 2020),BC/Photo_Precurs
AC090498.1,Retinal markers (Lu 2020),BC/Photo_Precurs
ZHX1,Retinal markers (Lu 2020),BC/Photo_Precurs
COMT,Retinal markers (Lu 2020),BC/Photo_Precurs
SERPINF1,Retinal markers (Lu 2020),BC/Photo_Precurs
PAK3,Retinal markers (Lu 2020),BC/Photo_Precurs
VSX2,Retinal markers (Lu 2020),BC/Photo_Precurs
RP3-512B11.3,Retinal markers (Lu 2020),BC/Photo_Precurs
THRB,Retinal markers (Lu 2020),BC/Photo_Precurs
KCNK3,Retinal markers (Lu 2020),BC/Photo_Precurs
MSI1,Retinal markers (Lu 2020),BC/Photo_Precurs
CLDN5,Retinal markers (Lu 2020),BC/Photo_Precurs
PPP1R14A,Retinal markers (Lu 2020),BC/Photo_Precurs
SRRM4,Retinal markers (Lu 2020),BC/Photo_Precurs
MIF,Retinal markers (Lu 2020),BC/Photo_Precurs
GDE1,Retinal markers (Lu 2020),BC/Photo_Precurs
FAM96B,Retinal markers (Lu 2020),BC/Photo_Precurs
CCDC181,Retinal markers (Lu 2020),BC/Photo_Precurs
ANKRD65,Retinal markers (Lu 2020),BC/Photo_Precurs
NOL4,Retinal markers (Lu 2020),BC/Photo_Precurs
CBFA2T2,Retinal markers (Lu 2020),BC/Photo_Precurs
SH3BGRL3,Retinal markers (Lu 2020),BC/Photo_Precurs
SSR4,Retinal markers (Lu 2020),BC/Photo_Precurs
LOXL1,Retinal markers (Lu 2020),BC/Photo_Precurs
GRAMD3,Retinal markers (Lu 2020),BC/Photo_Precurs
FAM60A,Retinal markers (Lu 2020),BC/Photo_Precurs
OSGEP,Retinal markers (Lu 2020),BC/Photo_Precurs
GOLIM4,Retinal markers (Lu 2020),BC/Photo_Precurs
RPS29,Retinal markers (Lu 2020),BC/Photo_Precurs
POLR2L,Retinal markers (Lu 2020),BC/Photo_Precurs
SPARC,Retinal markers (Lu 2020),BC/Photo_Precurs
ALDH7A1,Retinal markers (Lu 2020),BC/Photo_Precurs
STK39,Retinal markers (Lu 2020),BC/Photo_Precurs
RBPJ,Retinal markers (Lu 2020),BC/Photo_Precurs
KLHL35,Retinal markers (Lu 2020),BC/Photo_Precurs
PET100,Retinal markers (Lu 2020),BC/Photo_Precurs
RBM3,Retinal markers (Lu 2020),BC/Photo_Precurs
CDH2,Retinal markers (Lu 2020),BC/Photo_Precurs
PCSK2,Retinal markers (Lu 2020),BC/Photo_Precurs
MDGA1,Retinal markers (Lu 2020),BC/Photo_Precurs
RPS3,Retinal markers (Lu 2020),BC/Photo_Precurs
RPS27,Retinal markers (Lu 2020),BC/Photo_Precurs
TTC14,Retinal markers (Lu 2020),BC/Photo_Precurs
GPM6A,Retinal markers (Lu 2020),BC/Photo_Precurs
NLK,Retinal markers (Lu 2020),BC/Photo_Precurs
SSTR2,Retinal markers (Lu 2020),BC/Photo_Precurs
UBXN1,Retinal markers (Lu 2020),BC/Photo_Precurs
GADD45A,Retinal markers (Lu 2020),BC/Photo_Precurs
H1F0,Retinal markers (Lu 2020),BC/Photo_Precurs
NELL2,Retinal markers (Lu 2020),BC/Photo_Precurs
ZEB1,Retinal markers (Lu 2020),BC/Photo_Precurs
FXYD3,Retinal markers (Lu 2020),BC/Photo_Precurs
LINC00599,Retinal markers (Lu 2020),BC/Photo_Precurs
HIST1H2AC,Retinal markers (Lu 2020),BC/Photo_Precurs
LIMD2,Retinal markers (Lu 2020),BC/Photo_Precurs
CALR,Retinal markers (Lu 2020),BC/Photo_Precurs
NHP2,Retinal markers (Lu 2020),BC/Photo_Precurs
RGS16,Retinal markers (Lu 2020),BC/Photo_Precurs
MYBL1,Retinal markers (Lu 2020),BC/Photo_Precurs
SHD,Retinal markers (Lu 2020),BC/Photo_Precurs
SUPT4H1,Retinal markers (Lu 2020),BC/Photo_Precurs
SPON2,Retinal markers (Lu 2020),BC/Photo_Precurs
SNRPB2,Retinal markers (Lu 2020),BC/Photo_Precurs
NDUFB11,Retinal markers (Lu 2020),BC/Photo_Precurs
TIMM50,Retinal markers (Lu 2020),BC/Photo_Precurs
RPS27L,Retinal markers (Lu 2020),BC/Photo_Precurs
SEPT4,Retinal markers (Lu 2020),BC/Photo_Precurs
DSP,Retinal markers (Lu 2020),BC/Photo_Precurs
SMIM20,Retinal markers (Lu 2020),BC/Photo_Precurs
JTB,Retinal markers (Lu 2020),BC/Photo_Precurs
RPL37,Retinal markers (Lu 2020),BC/Photo_Precurs
SVBP,Retinal markers (Lu 2020),BC/Photo_Precurs
KLHDC8B,Retinal markers (Lu 2020),BC/Photo_Precurs
RPS28,Retinal markers (Lu 2020),BC/Photo_Precurs
TEAD2,Retinal markers (Lu 2020),BC/Photo_Precurs
ZBTB18,Retinal markers (Lu 2020),BC/Photo_Precurs
GNB2,Retinal markers (Lu 2020),BC/Photo_Precurs
PCP2,Retinal markers (Lu 2020),Bipolar Cells
VSX1,Retinal markers (Lu 2020),Bipolar Cells
GNG13,Retinal markers (Lu 2020),Bipolar Cells
CA10,Retinal markers (Lu 2020),Bipolar Cells
LRTM1,Retinal markers (Lu 2020),Bipolar Cells
CADPS,Retinal markers (Lu 2020),Bipolar Cells
CHN2,Retinal markers (Lu 2020),Bipolar Cells
CPLX3,Retinal markers (Lu 2020),Bipolar Cells
TMEM215,Retinal markers (Lu 2020),Bipolar Cells
ISL1,Retinal markers (Lu 2020),Bipolar Cells
TRPM1,Retinal markers (Lu 2020),Bipolar Cells
IGSF21,Retinal markers (Lu 2020),Bipolar Cells
CAMK2B,Retinal markers (Lu 2020),Bipolar Cells
SERPINI1,Retinal markers (Lu 2020),Bipolar Cells
GSG1,Retinal markers (Lu 2020),Bipolar Cells
WFDC1,Retinal markers (Lu 2020),Bipolar Cells
PRDM8,Retinal markers (Lu 2020),Bipolar Cells
PCP4,Retinal markers (Lu 2020),Bipolar Cells
SNAP25,Retinal markers (Lu 2020),Bipolar Cells
GRM6,Retinal markers (Lu 2020),Bipolar Cells
TMEM176B,Retinal markers (Lu 2020),Bipolar Cells
ASIC4,Retinal markers (Lu 2020),Bipolar Cells
AANAT,Retinal markers (Lu 2020),Bipolar Cells
CCDC136,Retinal markers (Lu 2020),Bipolar Cells
MT-CYB,Retinal markers (Lu 2020),Bipolar Cells
MAP4,Retinal markers (Lu 2020),Bipolar Cells
CALM1,Retinal markers (Lu 2020),Bipolar Cells
FSTL5,Retinal markers (Lu 2020),Bipolar Cells
PLXDC1,Retinal markers (Lu 2020),Bipolar Cells
IGF1,Retinal markers (Lu 2020),Bipolar Cells
MT-ND4,Retinal markers (Lu 2020),Bipolar Cells
SYNE1,Retinal markers (Lu 2020),Bipolar Cells
EFR3A,Retinal markers (Lu 2020),Bipolar Cells
KCNMA1,Retinal markers (Lu 2020),Bipolar Cells
MAP7,Retinal markers (Lu 2020),Bipolar Cells
TRNP1,Retinal markers (Lu 2020),Bipolar Cells
ITM2C,Retinal markers (Lu 2020),Bipolar Cells
VSX2,Retinal markers (Lu 2020),Bipolar Cells
HPCA,Retinal markers (Lu 2020),Bipolar Cells
DOK6,Retinal markers (Lu 2020),Bipolar Cells
GNAO1,Retinal markers (Lu 2020),Bipolar Cells
ANK3,Retinal markers (Lu 2020),Bipolar Cells
FRMD3,Retinal markers (Lu 2020),Bipolar Cells
GABRA1,Retinal markers (Lu 2020),Bipolar Cells
CABP2,Retinal markers (Lu 2020),Bipolar Cells
PCP4L1,Retinal markers (Lu 2020),Bipolar Cells
CXCL14,Retinal markers (Lu 2020),Bipolar Cells
MT-ND3,Retinal markers (Lu 2020),Bipolar Cells
PGM5-AS1.1,Retinal markers (Lu 2020),Bipolar Cells
ATP2B1,Retinal markers (Lu 2020),Bipolar Cells
MT-ATP6,Retinal markers (Lu 2020),Bipolar Cells
SYP,Retinal markers (Lu 2020),Bipolar Cells
SLC1A7,Retinal markers (Lu 2020),Bipolar Cells
KHDRBS3,Retinal markers (Lu 2020),Bipolar Cells
CLTB,Retinal markers (Lu 2020),Bipolar Cells
STX3,Retinal markers (Lu 2020),Bipolar Cells
APLP2,Retinal markers (Lu 2020),Bipolar Cells
TPD52,Retinal markers (Lu 2020),Bipolar Cells
ATP1A3,Retinal markers (Lu 2020),Bipolar Cells
PRNP,Retinal markers (Lu 2020),Bipolar Cells
NEUROD4,Retinal markers (Lu 2020),Bipolar Cells
SLC38A1,Retinal markers (Lu 2020),Bipolar Cells
RD3L,Retinal markers (Lu 2020),Bipolar Cells
GRIK1,Retinal markers (Lu 2020),Bipolar Cells
VAMP2,Retinal markers (Lu 2020),Bipolar Cells
TMEM196,Retinal markers (Lu 2020),Bipolar Cells
MT-CO3,Retinal markers (Lu 2020),Bipolar Cells
KCNA5,Retinal markers (Lu 2020),Bipolar Cells
RP11-192H23.6,Retinal markers (Lu 2020),Bipolar Cells
NETO1,Retinal markers (Lu 2020),Bipolar Cells
ELK4,Retinal markers (Lu 2020),Bipolar Cells
OTX2,Retinal markers (Lu 2020),Bipolar Cells
ZFHX4,Retinal markers (Lu 2020),Bipolar Cells
MT-CO1,Retinal markers (Lu 2020),Bipolar Cells
PROX1,Retinal markers (Lu 2020),Bipolar Cells
BCAT1,Retinal markers (Lu 2020),Bipolar Cells
MIR124-2HG,Retinal markers (Lu 2020),Bipolar Cells
SYT1,Retinal markers (Lu 2020),Bipolar Cells
SAMSN1,Retinal markers (Lu 2020),Bipolar Cells
MT-ND5,Retinal markers (Lu 2020),Bipolar Cells
APC,Retinal markers (Lu 2020),Bipolar Cells
GUCY1A3,Retinal markers (Lu 2020),Bipolar Cells
RAB3IP,Retinal markers (Lu 2020),Bipolar Cells
TERF2IP,Retinal markers (Lu 2020),Bipolar Cells
MFSD4,Retinal markers (Lu 2020),Bipolar Cells
CTD-2314G24.2,Retinal markers (Lu 2020),Bipolar Cells
MT-ND2,Retinal markers (Lu 2020),Bipolar Cells
HIST2H2BE,Retinal markers (Lu 2020),Bipolar Cells
NAPB,Retinal markers (Lu 2020),Bipolar Cells
TAX1BP1,Retinal markers (Lu 2020),Bipolar Cells
MT-ND4L,Retinal markers (Lu 2020),Bipolar Cells
GABRG2,Retinal markers (Lu 2020),Bipolar Cells
RIMS2,Retinal markers (Lu 2020),Bipolar Cells
SPCS1,Retinal markers (Lu 2020),Bipolar Cells
PLCD4,Retinal markers (Lu 2020),Bipolar Cells
NDNF,Retinal markers (Lu 2020),Bipolar Cells
FAM171B,Retinal markers (Lu 2020),Bipolar Cells
FGF12,Retinal markers (Lu 2020),Bipolar Cells
NFIB,Retinal markers (Lu 2020),Bipolar Cells
SFXN3,Retinal markers (Lu 2020),Bipolar Cells
CRYBG3,Retinal markers (Lu 2020),Bipolar Cells
GNB5,Retinal markers (Lu 2020),Bipolar Cells
LMO4,Retinal markers (Lu 2020),Bipolar Cells
MCC,Retinal markers (Lu 2020),Bipolar Cells
ZNF385A,Retinal markers (Lu 2020),Bipolar Cells
DBP,Retinal markers (Lu 2020),Bipolar Cells
DST,Retinal markers (Lu 2020),Bipolar Cells
APLP1,Retinal markers (Lu 2020),Bipolar Cells
PCDH9,Retinal markers (Lu 2020),Bipolar Cells
TMEM176A,Retinal markers (Lu 2020),Bipolar Cells
CCDC88A,Retinal markers (Lu 2020),Bipolar Cells
MT-ND1,Retinal markers (Lu 2020),Bipolar Cells
RP11-676J15.1,Retinal markers (Lu 2020),Bipolar Cells
NIF3L1,Retinal markers (Lu 2020),Bipolar Cells
HHATL,Retinal markers (Lu 2020),Bipolar Cells
ZNF385B,Retinal markers (Lu 2020),Bipolar Cells
NOVA1,Retinal markers (Lu 2020),Bipolar Cells
RD3,Retinal markers (Lu 2020),Bipolar Cells
CLSTN3,Retinal markers (Lu 2020),Bipolar Cells
KRT222,Retinal markers (Lu 2020),Bipolar Cells
FOXN3,Retinal markers (Lu 2020),Bipolar Cells
VDAC1,Retinal markers (Lu 2020),Bipolar Cells
FAM3C,Retinal markers (Lu 2020),Bipolar Cells
CLN6,Retinal markers (Lu 2020),Bipolar Cells
SSTR2,Retinal markers (Lu 2020),Bipolar Cells
KIF21A,Retinal markers (Lu 2020),Bipolar Cells
USP11,Retinal markers (Lu 2020),Bipolar Cells
B3GALT2,Retinal markers (Lu 2020),Bipolar Cells
ATP6V1G2,Retinal markers (Lu 2020),Bipolar Cells
EDIL3,Retinal markers (Lu 2020),Bipolar Cells
CH17-189H20.1,Retinal markers (Lu 2020),Bipolar Cells
NRXN3,Retinal markers (Lu 2020),Bipolar Cells
GABRR1,Retinal markers (Lu 2020),Bipolar Cells
PRKCA,Retinal markers (Lu 2020),Bipolar Cells
ITM2B,Retinal markers (Lu 2020),Bipolar Cells
SEMA3E,Retinal markers (Lu 2020),Bipolar Cells
CPE,Retinal markers (Lu 2020),Bipolar Cells
SLC17A7,Retinal markers (Lu 2020),Bipolar Cells
PRKCB,Retinal markers (Lu 2020),Bipolar Cells
TMEM59L,Retinal markers (Lu 2020),Bipolar Cells
FAIM2,Retinal markers (Lu 2020),Bipolar Cells
QPCT,Retinal markers (Lu 2020),Bipolar Cells
RP11-431M3.2,Retinal markers (Lu 2020),Bipolar Cells
TSPAN13,Retinal markers (Lu 2020),Bipolar Cells
SLC25A22,Retinal markers (Lu 2020),Bipolar Cells
RAB3A,Retinal markers (Lu 2020),Bipolar Cells
ST18,Retinal markers (Lu 2020),Bipolar Cells
LIN7A,Retinal markers (Lu 2020),Bipolar Cells
VSTM2A,Retinal markers (Lu 2020),Bipolar Cells
CELF3,Retinal markers (Lu 2020),Bipolar Cells
ARR3,Retinal markers (Lu 2020),Cones
GUCA1C,Retinal markers (Lu 2020),Cones
THRB,Retinal markers (Lu 2020),Cones
TTR,Retinal markers (Lu 2020),Cones
MIR7-3HG,Retinal markers (Lu 2020),Cones
PHLDA1,Retinal markers (Lu 2020),Cones
HOTAIRM1,Retinal markers (Lu 2020),Cones
DHRS7,Retinal markers (Lu 2020),Cones
HMGA1,Retinal markers (Lu 2020),Cones
CTD-2050N2.1,Retinal markers (Lu 2020),Cones
SERPINI2,Retinal markers (Lu 2020),Cones
RRAD,Retinal markers (Lu 2020),Cones
APMAP,Retinal markers (Lu 2020),Cones
CCDC141,Retinal markers (Lu 2020),Cones
MYL4,Retinal markers (Lu 2020),Cones
FAM213A,Retinal markers (Lu 2020),Cones
ENAH,Retinal markers (Lu 2020),Cones
MCC,Retinal markers (Lu 2020),Cones
SSTR2,Retinal markers (Lu 2020),Cones
TTN,Retinal markers (Lu 2020),Cones
NEAT1,Retinal markers (Lu 2020),Cones
MT-CO2,Retinal markers (Lu 2020),Cones
S100A6,Retinal markers (Lu 2020),Cones
DST,Retinal markers (Lu 2020),Cones
TMSB4X,Retinal markers (Lu 2020),Cones
MT-CYB,Retinal markers (Lu 2020),Cones
RBP4,Retinal markers (Lu 2020),Cones
STRADB,Retinal markers (Lu 2020),Cones
SPON2,Retinal markers (Lu 2020),Cones
ROBO2,Retinal markers (Lu 2020),Cones
GPX1,Retinal markers (Lu 2020),Cones
PCAT4,Retinal markers (Lu 2020),Cones
MT-ATP6,Retinal markers (Lu 2020),Cones
CPLX1,Retinal markers (Lu 2020),Cones
GNAT2,Retinal markers (Lu 2020),Cones
MT-ND4,Retinal markers (Lu 2020),Cones
CALB1,Retinal markers (Lu 2020),Cones
S100A13,Retinal markers (Lu 2020),Cones
CABP2,Retinal markers (Lu 2020),Cones
SYT4,Retinal markers (Lu 2020),Cones
SVBP,Retinal markers (Lu 2020),Cones
MT-ND2,Retinal markers (Lu 2020),Cones
CERKL,Retinal markers (Lu 2020),Cones
PHACTR2,Retinal markers (Lu 2020),Cones
DCX,Retinal markers (Lu 2020),Cones
MT-ND1,Retinal markers (Lu 2020),Cones
HDDC2,Retinal markers (Lu 2020),Cones
MT-CO1,Retinal markers (Lu 2020),Cones
EIF3E,Retinal markers (Lu 2020),Cones
ISL2,Retinal markers (Lu 2020),Cones
TXNIP,Retinal markers (Lu 2020),Cones
MDFI,Retinal markers (Lu 2020),Cones
GJD2,Retinal markers (Lu 2020),Cones
MT-CO3,Retinal markers (Lu 2020),Cones
CNGB3,Retinal markers (Lu 2020),Cones
PPA1,Retinal markers (Lu 2020),Cones
SIX6,Retinal markers (Lu 2020),Cones
INHBB,Retinal markers (Lu 2020),Cones
RAX,Retinal markers (Lu 2020),Cones
CLTB,Retinal markers (Lu 2020),Cones
SCN3B,Retinal markers (Lu 2020),Cones
RPL18A,Retinal markers (Lu 2020),Cones
NXPH4,Retinal markers (Lu 2020),Cones
MT-ND5,Retinal markers (Lu 2020),Cones
GUCY1A2,Retinal markers (Lu 2020),Cones
CHRNB4,Retinal markers (Lu 2020),Cones
LINC01315,Retinal markers (Lu 2020),Cones
CTC-378H22.2,Retinal markers (Lu 2020),Cones
NHLH1,Retinal markers (Lu 2020),Cones
RPS16,Retinal markers (Lu 2020),Cones
EEF1A1,Retinal markers (Lu 2020),Cones
SLC25A6,Retinal markers (Lu 2020),Cones
SMTN,Retinal markers (Lu 2020),Cones
RPL19,Retinal markers (Lu 2020),Cones
SPTSSA,Retinal markers (Lu 2020),Cones
HIST3H2A,Retinal markers (Lu 2020),Cones
RPL23A,Retinal markers (Lu 2020),Cones
RAMP1,Retinal markers (Lu 2020),Cones
CADPS,Retinal markers (Lu 2020),Cones
TTC3,Retinal markers (Lu 2020),Cones
FAM19A3,Retinal markers (Lu 2020),Cones
RPLP0,Retinal markers (Lu 2020),Cones
WWC1,Retinal markers (Lu 2020),Cones
TPT1,Retinal markers (Lu 2020),Cones
PBX1,Retinal markers (Lu 2020),Cones
KCTD17,Retinal markers (Lu 2020),Cones
ZHX1,Retinal markers (Lu 2020),Cones
CPLX2,Retinal markers (Lu 2020),Cones
PEPD,Retinal markers (Lu 2020),Cones
HRASLS,Retinal markers (Lu 2020),Cones
OLFM1,Retinal markers (Lu 2020),Cones
WSCD1,Retinal markers (Lu 2020),Cones
DUSP2,Retinal markers (Lu 2020),Cones
DPP10-AS1,Retinal markers (Lu 2020),Cones
INSM1,Retinal markers (Lu 2020),Cones
HES6,Retinal markers (Lu 2020),Cones
INSM2,Retinal markers (Lu 2020),Cones
SEMA6D,Retinal markers (Lu 2020),Cones
LINC01451,Retinal markers (Lu 2020),Cones
CCDC88C,Retinal markers (Lu 2020),Cones
NPTX1,Retinal markers (Lu 2020),Cones
RPS3,Retinal markers (Lu 2020),Cones
DPP10,Retinal markers (Lu 2020),Cones
EPB41L4A-AS1,Retinal markers (Lu 2020),Cones
RPL12,Retinal markers (Lu 2020),Cones
RPL13A,Retinal markers (Lu 2020),Cones
CNTN1,Retinal markers (Lu 2020),Cones
RPS23,Retinal markers (Lu 2020),Cones
TLE1,Retinal markers (Lu 2020),Cones
NDUFV2,Retinal markers (Lu 2020),Cones
RPS2,Retinal markers (Lu 2020),Cones
MTHFD2,Retinal markers (Lu 2020),Cones
